CTV3ID,CTV3PreferredTermDesc,CTV3Source
14S2.,H/O: kidney recipient,CTV3Map_Code_And_Term
7B00.,Renal transplant,CTV3Map_Code_And_Term
7B001,Live donor renal transplant,CTV3Map_Code_And_Term
7B002,Cadaveric renal transplant,CTV3Map_Code_And_Term
7B00y,Other specified transplantation of kidney,CTV3Map_Code_And_Term
7B00z,Transplantation of kidney NOS,CTV3Map_Code_And_Term
K0B5.,Renal tubulo-interstitial disorders in transplant rejection,CTV3Map_Code_And_Term
SP080,(Transpl organ fail) or (deterior ren func aft ren transpl),CTV3_Children
SP083,Kidney transplant failure and rejection,CTV3Map_Code_And_Term
TB001,"Kidney transplant with complication, without blame",CTV3Map_Code_And_Term
X30D2,Xenograft renal transplant,CTV3Map_Code_And_Term
X30J3,End stage renal failure with renal transplant,QOF
X30Ma,Chronic rejection of renal transplant - grade III,CTV3_Children
X30Mb,Acute-on-chronic rejection of renal transplant,CTV3Map_Code_And_Term
X30Mc,Failed renal transplant,CTV3_Children
X30Md,Perfusion injury of renal transplant,CTV3_Children
X30Me,De novo transplant disease,CTV3_Children
X30Mf,De novo glomerulonephritis,CTV3_Children
X30Mg,Transplant glomerulopathy,CTV3_Children
X30Mh,Transplant glomerulopathy - early form,CTV3_Children
X30Mi,Transplant glomerulopathy - late form,CTV3_Children
X30MN,Renal transplant disorder,CTV3_Children
X30MO,Primary non-function of renal transplant,CTV3_Children
X30MP,Renal transplant rejection,CTV3Map_Code_And_Term
X30MQ,Hyperacute rejection of renal transplant,CTV3_Children
X30MR,Accelerated rejection of renal transplant,CTV3_Children
X30MS,Very mild acute rejection of renal transplant,CTV3Map_Code_And_Term
X30MT,Acute rejection of renal transplant,CTV3Map_Code_And_Term
X30MU,Acute rejection of renal transplant - grade I,CTV3Map_Code_And_Term
X30MV,Acute rejection of renal transplant - grade II,CTV3Map_Code_And_Term
X30MW,Acute rejection of renal transplant - grade III,CTV3Map_Code_And_Term
X30MX,Chronic rejection of renal transplant,CTV3Map_Code_And_Term
X30MY,Chronic rejection of renal transplant - grade 1,CTV3_Children
X30MZ,Chronic rejection of renal transplant - grade II,CTV3_Children
X30NN,Perirenal and periureteric post-transplant lymphocele,CTV3_Children
Xa0HK,Unexplained episode of renal transplant dysfunction,CTV3Map_Code_And_Term
Xa0HL,Pre-existing disease in renal transplant,CTV3_Children
Xa1dw,Transplant kidney,QOF
Xa3x6,Kidney replacement,High_Level_SNOMED
Xaa2O,Thrombosis of artery of transplanted kidney,CTV3_Children
Xaa2Q,Thrombosis of vein of transplanted kidney,CTV3_Children
XaE9T,Donor renal transplantation,CTV3_Children
XaM1o,"Allotransplantation of kidney from cadaver, heart-beating",CTV3Map_Code_And_Term
XaM1p,"Allotransplantation kidney from cadaver, heart non-beating",CTV3Map_Code_And_Term
XaM4e,Interventions associated with transplantation of kidney,CTV3Map_Code_And_Term
XaM4f,OS interventions associated with transplantation of kidney,CTV3Map_Code_And_Term
XaM4g,Interventions associated with transplantation of kidney NOS,CTV3Map_Code_And_Term
XaM4l,"Post-transplantation of kidney examination, recipient",CTV3Map_Code_And_Term
XaMKM,Allotransplantation of kidney from cadaver NEC,CTV3Map_Code_And_Term
XaZe2,Rupture of artery of transplanted kidney,CTV3_Children
XaZe3,Rupture of vein of transplanted kidney,CTV3_Children
XaZe7,Stenosis of vein of transplanted kidney,CTV3Map_Code_And_Term
XaZkw,Aneurysm of vein of transplanted kidney,CTV3_Children
XaZl0,Aneurysm of artery of transplanted kidney,CTV3_Children
XaZWa,Urological complication of renal transplant,CTV3Map_Code_And_Term
XaZYx,Vascular complication of renal transplant,CTV3Map_Code_And_Term
Y1602,Kidney-pancreas transplant,CTV3_Children
ZV420,[V]Kidney transplanted,CTV3Map_Code_And_Term